,setting,clusterCoef,lambda,mu,sigma,a,b,c
158,20000_8_0.5,0.11651448558590248,0.14,0.61,0.65,0.7965941047053208,0.5766754626263807,0.5275919355294002
159,20000_8_0.6000000000000001,0.13805716822626565,0.15,1.25,0.95,0.7171881350356805,0.62193375586979,0.4830497304514883
160,20000_8_0.7000000000000001,0.16248655181426186,0.15,1.88,1.27,0.6275884577540274,0.6520177010009865,0.43715045494292626
161,20000_8_0.8,0.19105252300671843,0.14,2.67,1.7,0.5676865301370603,0.7115607459762929,0.3863870495493545
162,20000_9_0.0,0.00583699237021849,0.09,-0.02,0.0,0.2450531557640633,0.12725809553582715,0.7153014413946266
163,20000_9_0.1,0.025563691259065564,0.13,-0.01,0.0,0.8240959341752441,0.20111994427554186,0.7451520252051702
164,20000_9_0.2,0.04681711633379559,0.12,-0.02,0.01,0.94067236993183,0.334406042753555,0.6794459755669063
165,20000_9_0.30000000000000004,0.0662192058058493,0.12,-0.01,0.0,0.9618883684578192,0.46708460211564934,0.6169902876527686
166,20000_9_0.4,0.08650810172176367,0.12,0.2,0.47,0.8831856077412708,0.5466363896092639,0.5639998167065999
167,20000_9_0.5,0.10542193374573612,0.13,0.68,0.68,0.759737533840639,0.5721102972489105,0.5181025767347659
168,20000_9_0.6000000000000001,0.12291555433787062,0.15,1.41,1.02,0.7075775995148766,0.6207279899197343,0.47940224469774734
169,20000_9_0.7000000000000001,0.14424691596390274,0.13,1.94,1.3,0.609972650908341,0.6360836338046874,0.4358843144094684
170,20000_9_0.8,0.17097072816221154,0.12,2.78,1.79,0.552672467539444,0.6921692103196124,0.3860312596297857
171,20000_10_0.0,0.006080381466226405,0.09,-0.02,0.01,0.21734719538344235,0.12742938689070413,0.7100832351250441
172,20000_10_0.1,0.024402576183442635,0.09,-0.01,0.0,0.6994617388091664,0.20976136627456554,0.7154674507856189
173,20000_10_0.2,0.043645025218362575,0.09,-0.02,0.01,0.9171209030774454,0.3549010698571683,0.6606647906201926
174,20000_10_0.30000000000000004,0.06125042110749234,0.11,-0.02,0.01,0.923949980414648,0.4695138193380754,0.6064959927650307
175,20000_10_0.4,0.0789484560813976,0.13,0.31,0.52,0.8442291454430998,0.5410050337818769,0.555841738882563
176,20000_10_0.5,0.09555692403821134,0.12,0.69,0.67,0.7546559855310803,0.5857292374797111,0.5098780123675961
177,20000_10_0.6000000000000001,0.1127044701646184,0.12,1.27,0.93,0.6564924378143111,0.5982395602642508,0.47103756968627997
178,20000_10_0.7000000000000001,0.1314352256557572,0.11,1.84,1.24,0.5819424523395037,0.619663823008063,0.43115382961381765
179,20000_10_0.8,0.15395478705944685,0.12,3.1,1.98,0.5181885863238187,0.6502019846313505,0.38895933424485574
180,20000_11_0.0,0.0068144266212315134,0.08,-0.02,0.01,0.28131079552766275,0.15261974867068012,0.6867474772330816
181,20000_11_0.1,0.023225859485946514,0.09,-0.02,0.01,0.7215913952477796,0.2314189838873022,0.7003528590547377
182,20000_11_0.2,0.04121822214861173,0.08,-0.01,0.0,0.8440642939719865,0.3572890065356259,0.6431391562642264
183,20000_11_0.30000000000000004,0.058747772700271636,0.08,-0.02,0.01,0.8658659458453186,0.48663736582117967,0.5828040061176127
184,20000_11_0.4,0.07409030498937437,0.1,0.22,0.46,0.8254720505280815,0.5596377204946339,0.540698492808219
185,20000_11_0.5,0.08928553558526978,0.11,0.76,0.71,0.7448776707772748,0.6059195236986785,0.49725726040247276
186,20000_11_0.6000000000000001,0.10396442664466887,0.11,1.33,0.95,0.6423108796663222,0.6044638308860858,0.46304619290171933
187,20000_11_0.7000000000000001,0.12056016580861742,0.11,2.05,1.35,0.5763179057430505,0.6254543934474301,0.42598094496640015
188,20000_11_0.8,0.13972760783766924,0.11,3.15,2.01,0.5179717576968192,0.6498314331607647,0.38746961618817555
189,20000_12_0.0,0.007033228642966605,0.07,-0.03,0.01,0.29659380758212855,0.17047282023630533,0.6656191830132686
190,20000_12_0.1,0.0230250422467841,0.07,-0.02,0.01,0.6288714660623509,0.23477934830011013,0.6785057896098654
191,20000_12_0.2,0.039506590516346904,0.07,-0.02,0.01,0.814800443758201,0.37689055971906105,0.6234428733626567
192,20000_12_0.30000000000000004,0.05530221393647116,0.08,-0.02,0.01,0.8637916375883701,0.5087245449386423,0.5710877794722294
193,20000_12_0.4,0.0697184152680207,0.09,0.25,0.47,0.809815759315236,0.5850038104306159,0.5237591772211541
194,20000_12_0.5,0.08353482594355405,0.1,0.78,0.7,0.7403750639694244,0.6269956071199383,0.48615361061673384
195,20000_12_0.6000000000000001,0.09685517012597797,0.1,1.32,0.95,0.6497752725419174,0.6264717226953461,0.4541293375654409
196,20000_12_0.7000000000000001,0.11056797976657397,0.1,2.1,1.37,0.5747530151168228,0.6234357567474432,0.42500673877775175
197,20000_12_0.8,0.12905250093398546,0.1,3.1,2.0,0.5257872006530095,0.6592070899189431,0.38543805057280905
198,30000_2_0.0,0.0023852831689404677,0.65,-0.0,0.0,-0.8545931728467431,0.009677563606347089,0.9122989978519066
199,30000_2_0.1,0.07575058230490786,2.07,-0.0,0.0,2.0466203221686086,0.07369216309507928,0.9367673667078524
200,30000_2_0.2,0.1483846592061309,1.52,-0.0,0.0,2.0690710614330814,0.14108172161458382,0.9037736618896742
201,30000_2_0.30000000000000004,0.220732287662026,0.91,-0.0,0.0,1.6802825920373787,0.18430887104729962,0.8590313255908016
202,30000_2_0.4,0.29246462492777214,0.73,-0.0,0.0,1.3779830054841293,0.19415436871951522,0.8285336452642658
203,30000_2_0.5,0.36725891313456743,0.62,0.07,0.41,1.228959995197473,0.22338378889572247,0.7970352115958722
204,30000_2_0.6000000000000001,0.4392601539434102,0.6,0.3,0.51,1.2334325316314028,0.2765753233733349,0.7671725161771653
205,30000_2_0.7000000000000001,0.5133178067771634,0.55,0.44,0.52,1.1296505162294532,0.2947009529489099,0.7427914610989805
206,30000_2_0.8,0.5895622222478117,0.5,0.56,0.5,1.0115687701111855,0.2992057322306105,0.7218309491038756
207,30000_3_0.0,0.0022411223660990533,0.48,-0.0,0.0,-0.605100819536549,0.015259361414119576,0.8928339205253208
208,30000_3_0.1,0.05325162939551135,0.98,-0.0,0.0,1.839924513517139,0.1395261699794888,0.8905806321867403
209,30000_3_0.2,0.10513144282084536,0.76,-0.0,0.0,2.00976386613455,0.33445066928958356,0.824551836858923
210,30000_3_0.30000000000000004,0.15859643599947404,0.57,-0.0,0.0,1.789934426588394,0.4755576362045604,0.7572405296522565
211,30000_3_0.4,0.21050321932510407,0.53,0.27,0.53,1.7039483850502075,0.6703471096442258,0.6907119833837508
212,30000_3_0.5,0.26655076744526884,0.46,0.5,0.64,1.7285168147271572,0.9808993701812624,0.622156487712636
213,30000_3_0.6000000000000001,0.32841792835211514,0.39,0.7,0.71,1.7136078762046845,1.3465372964618878,0.5530402828998546
214,30000_3_0.7000000000000001,0.38537294853464116,0.37,0.88,0.8,1.755122496304074,1.7883349386621206,0.4979536218286713
215,30000_3_0.8,0.4513823327201668,0.33,1.06,0.88,1.866225693662494,2.7386562968033177,0.4251674257637732
216,30000_4_0.0,0.00259252256621851,0.25,-0.0,0.0,-0.08071375775846268,0.03993486817856062,0.8465145728521692
217,30000_4_0.1,0.04252258464712852,0.58,-0.0,0.0,1.5539788767191172,0.1406857937742192,0.8707368033999928
218,30000_4_0.2,0.08157134913805021,0.57,-0.0,0.0,1.4889072565182624,0.2641479724426345,0.8018336075955343
219,30000_4_0.30000000000000004,0.12216131903664287,0.46,-0.01,0.0,1.326684723242732,0.38952824892196464,0.726831609503623
220,30000_4_0.4,0.16529924353602804,0.42,0.41,0.61,1.2003101570780366,0.5191784989900853,0.6537405633310275
221,30000_4_0.5,0.2079178984072405,0.38,0.71,0.75,1.0480192264728385,0.6177327671829599,0.5851336964467386
222,30000_4_0.6000000000000001,0.2570044354331414,0.34,0.97,0.85,0.9864677197631242,0.7653824414289366,0.5197160347747851
223,30000_4_0.7000000000000001,0.30437964420154884,0.28,1.23,0.93,0.8955525838131976,0.8855468900528222,0.4572545261836471
224,30000_4_0.8,0.35982977937188887,0.26,1.49,1.06,0.867166247214591,1.105818566646272,0.39049494891554887
225,30000_5_0.0,0.0028897298185369177,0.19,-0.01,0.0,-0.09036272749918534,0.04684093082648609,0.8241831573757565
226,30000_5_0.1,0.03601186030144055,0.32,-0.0,0.0,1.178933008036567,0.13851868433123748,0.8416067509568623
227,30000_5_0.2,0.06896338953057327,0.39,-0.0,0.0,1.396214761770137,0.29739726035810515,0.7742137245216092
228,30000_5_0.30000000000000004,0.10257434522970103,0.29,-0.0,0.0,1.192090690596252,0.4017762186635,0.6974755861117623
